Month;Day;Hour;Second;LicencePlate;Damage;Injured;CloseCarCm;CloseGuardrailCm;SkidAngle
1;27;15;10;MG 649AMA;;;;;35
1;26;11;43;SH 772KWC;;;20;;
1;12;10;25;GC 424CPL;;;13;;
1;25;1;33;MJ 432FAQ;;;7;;
1;28;13;57;NE 606XQG;;;18;;
1;13;9;10;GR 754JIY;;;13;;
1;2;18;54;BD 110GDV;;;;14;
1;1;13;55;WO 815GBG;;;4;;
1;15;20;33;SK 524MQU;;;11;;
1;16;14;6;KM 573IKG;;;15;;
1;23;16;58;WB 420EPE;;;;15;
1;7;14;58;GZ 747ETH;;;18;;
1;10;8;43;NC 782HJQ;;;6;;
1;29;15;55;KW 134QSG;;;16;;
1;19;2;48;KO 185IGU;;;17;;
1;24;9;56;SG 699EGM;;;10;;
1;13;17;39;CD 457VNA;;;16;;
1;9;20;38;ML 904EZP;;;9;;
1;22;13;16;WJ 177JNF;;;10;;
1;13;16;24;GB 947VHC;;;20;;
1;22;4;32;NL 719FBQ;;;10;;
1;8;1;9;BS 534CHI;;;20;;
1;22;10;48;GM 246ELL;;;13;;
1;22;22;35;WY 551TDR;;;15;;
1;14;20;14;SZ 626URR;;;20;;
1;8;14;38;BY 214DXD;;;8;;
1;18;13;17;BW 394UXD;;;11;;
1;31;15;53;BR 140XPE;;;17;;
1;6;16;51;WL 984UZR;;;8;;
1;9;18;7;LM 141JBS;;;10;;
1;24;15;28;MR 467IAU;;;8;;
1;24;8;34;GS 605HSU;;;13;;
1;15;18;47;CM 677XPU;;;20;;
1;31;12;27;BR 611XUP;;;7;;
1;23;4;45;LB 781VYA;;;14;;
1;24;8;58;CM 375BHK;;;15;;
1;24;20;21;LX 701UTU;;;15;;
1;31;7;50;SN 139PZS;;;15;;
1;8;8;34;BA 941NPJ;;;17;;
1;15;18;16;KE 426VGX;;;17;;
1;18;10;27;BP 927TJE;;;7;;
1;25;6;27;GJ 826VQK;;;20;;
1;31;5;47;KK 901VAP;;;13;;
1;29;21;7;NE 372MXD;;;14;;
1;5;10;11;CA 428GYN;;;11;;
1;27;19;17;CD 618RWC;;;11;;
1;7;13;17;BS 190LNU;;;15;;
1;14;7;55;CK 477MLU;;;14;;
1;4;21;14;NE 334TNN;;;16;;
1;19;2;31;BP 253NLP;;;15;;
1;3;22;48;WZ 150YMV;;;11;;
1;25;12;49;SP 698JHA;;;15;;
1;27;4;33;SZ 612LZL;;;20;;
1;6;8;39;WD 815UYA;;;20;;
1;29;15;17;NO 155ENS;;;10;;
1;24;5;48;GZ 348SBY;;;13;;
1;17;12;33;WK 898XEJ;;;20;;
1;27;19;46;BZ 793HNI;;;13;;
1;5;14;30;NQ 928ECJ;;;13;;
1;18;19;18;KE 685EHY;;;10;;
1;25;6;2;WI 697OHP;;;15;;
1;6;1;31;BQ 396YZY;;;18;;
1;23;7;51;LA 498HEA;;;;19;
1;10;23;2;BT 890HSG;;;16;;
1;1;2;45;LI 255KZJ;;;15;;
1;29;16;36;SV 883TPX;;;13;;
1;18;12;40;WE 240DLY;;;15;;
1;16;6;53;KW 580TBN;;;5;;
1;14;6;2;MY 739JHV;;;20;;
1;11;5;7;NA 340QUK;;;14;;
1;12;15;6;LX 665IGV;;;17;;
1;12;15;10;CB 369ADE;;;19;;
1;12;24;29;GW 878RPK;;;20;;
1;17;10;39;WB 625SCM;;;16;;
1;29;11;44;ST 171CIE;;;16;;
1;14;6;18;BO 230WEN;;;19;;
1;8;19;20;LG 868MMX;;;11;;
1;31;19;38;WF 655CAU;;;1;;
1;1;20;26;SK 225HIL;;;18;;
1;14;7;4;CY 459AMP;;;3;;
1;13;22;27;ML 561YLS;;;20;;
1;3;23;9;BX 403SFV;;;20;;
1;28;4;3;MM 493RTS;;;;11;
1;24;9;48;CY 773CRG;;;19;;
1;9;6;18;ST 969UWX;;;19;;
1;5;20;28;NB 159WMX;;;17;;
1;14;2;36;GY 557KFV;;;20;;
1;4;8;29;GA 530VLY;;;19;;
1;15;20;0;GC 834UIC;;;14;;
1;22;12;57;NR 285SBD;;;10;;
1;14;3;26;BC 322EWX;;;14;;
1;3;12;55;KW 903LYV;;;14;;
1;9;12;40;WV 822UMX;;;15;;
1;1;11;46;NC 709UNM;14000;4;;;
1;13;15;8;SH 372KJS;;;10;;
