Month;Day;Hour;Minute;Second;Sensor;Value
1;1;0;3;35;6;0,00
1;1;0;22;0;-1;70,00
1;1;0;49;17;5;36,00
1;1;0;49;17;14;2,00
1;1;0;49;17;13;31,00
1;1;0;49;17;2;0,10
1;1;0;49;17;9;0,09
1;1;0;49;17;12;0,11
1;1;0;49;17;1;0,00
1;1;0;49;17;8;0,00
1;1;0;49;17;11;0,00
1;1;0;49;17;4;73,93
1;1;0;49;17;15;0,57
1;1;0;49;17;18;0,56
1;1;0;49;17;19;0,53
1;1;0;51;4;3;83,96
1;1;0;54;47;16;3,00
1;1;1;3;35;-1;60,00
1;1;1;23;13;6;40,00
1;1;1;48;43;16;2,32
1;1;1;58;11;3;81,93
1;1;1;59;52;5;0,00
1;1;1;59;52;14;53,00
1;1;1;59;52;13;10,00
1;1;1;59;52;2;0,17
1;1;1;59;52;9;0,17
1;1;1;59;52;12;0,18
1;1;1;59;52;1;0,00
1;1;1;59;52;8;0,00
1;1;1;59;52;11;0,00
1;1;1;59;52;4;82,03
1;1;1;59;52;15;-3,27
1;1;1;59;52;18;-2,95
1;1;1;59;52;19;-2,73
1;1;2;16;14;-1;70,00
1;1;2;27;28;5;89,00
1;1;2;27;28;14;0,00
1;1;2;27;28;13;101,00
1;1;2;27;28;2;0,13
1;1;2;27;28;9;0,14
1;1;2;27;28;12;0,12
1;1;2;27;28;1;0,00
1;1;2;27;28;8;0,00
1;1;2;27;28;11;0,00
1;1;2;27;28;4;73,19
1;1;2;27;28;15;-3,70
1;1;2;27;28;18;-3,46
1;1;2;27;28;19;-3,42
1;1;2;30;1;3;81,98
1;1;2;42;35;6;0,00
1;1;2;58;42;16;2,12
1;1;3;2;55;5;0,00
1;1;3;2;55;14;7,00
1;1;3;2;55;13;0,00
1;1;3;2;55;2;0,18
1;1;3;2;55;9;0,20
1;1;3;2;55;12;0,17
1;1;3;2;55;1;0,00
1;1;3;2;55;8;0,00
1;1;3;2;55;11;0,00
1;1;3;2;55;4;85,24
1;1;3;2;55;15;-3,45
1;1;3;2;55;18;-3,19
1;1;3;2;55;19;-3,47
1;1;3;33;55;6;0,00
1;1;3;40;36;16;2,51
1;1;3;52;24;-1;60,00
1;1;3;58;12;3;83,90
1;1;4;26;22;5;63,00
1;1;4;26;22;14;34,00
1;1;4;26;22;13;60,00
1;1;4;26;22;2;0,20
1;1;4;26;22;9;0,20
1;1;4;26;22;12;0,19
1;1;4;26;22;1;0,00
1;1;4;26;22;8;0,00
1;1;4;26;22;11;0,00
1;1;4;26;22;4;85,00
1;1;4;26;22;15;-4,56
1;1;4;26;22;18;-4,55
1;1;4;26;22;19;-4,89
1;1;4;30;23;16;3,79
1;1;4;47;58;-1;50,00
1;1;4;53;38;3;84,83
1;1;4;54;5;6;36,00
1;1;5;22;18;-1;50,00
1;1;5;24;15;5;93,00
1;1;5;24;15;14;65,00
1;1;5;24;15;13;102,00
1;1;5;24;15;2;0,15
1;1;5;24;15;9;0,15
1;1;5;24;15;12;0,15
1;1;5;24;15;1;0,00
1;1;5;24;15;8;0,00
1;1;5;24;15;11;0,00
1;1;5;24;15;4;81,18
1;1;5;24;15;15;-8,08
1;1;5;24;15;18;-8,42
1;1;5;24;15;19;-8,28
1;1;5;32;14;6;70,00
1;1;5;37;46;16;5,20
1;1;5;43;59;3;84,83
1;1;6;19;51;16;8,49
1;1;6;22;50;-1;60,00
1;1;6;43;53;3;88,40
1;1;6;49;53;5;0,00
1;1;6;49;53;14;43,00
1;1;6;49;53;13;15,00
1;1;6;49;53;2;0,02
1;1;6;49;53;9;0,02
1;1;6;49;53;12;0,03
1;1;6;49;53;1;0,00
1;1;6;49;53;8;0,00
1;1;6;49;53;11;0,00
1;1;6;49;53;4;86,48
1;1;6;49;53;15;-8,72
1;1;6;49;53;18;-8,51
1;1;6;49;53;19;-8,65
1;1;6;53;29;6;53,00
1;1;7;11;40;6;88,00
1;1;7;13;23;5;0,00
1;1;7;13;23;14;75,00
1;1;7;13;23;13;0,00
1;1;7;13;23;2;9910,10
1;1;7;13;23;9;9454,23
1;1;7;13;23;12;10425,42
1;1;7;13;23;1;0,00
1;1;7;13;23;8;0,00
1;1;7;13;23;11;0,00
1;1;7;13;23;4;81,67
1;1;7;13;23;15;-9,42
1;1;7;13;23;18;-10,07
1;1;7;13;23;19;-9,11
1;1;7;17;17;3;91,92
1;1;7;25;33;-1;80,00
1;1;7;26;28;16;13,42
1;1;8;26;46;6;84,00
1;1;8;27;53;5;0,00
1;1;8;27;53;14;79,00
1;1;8;27;53;13;15,00
1;1;8;27;53;2;16783,36
1;1;8;27;53;9;15709,22
1;1;8;27;53;12;17119,03
1;1;8;27;53;1;0,00
1;1;8;27;53;8;0,00
1;1;8;27;53;11;0,00
1;1;8;27;53;4;73,91
1;1;8;27;53;15;-11,38
1;1;8;27;53;18;-11,04
1;1;8;27;53;19;-11,79
1;1;8;27;56;-1;80,00
1;1;8;40;53;16;13,08
1;1;8;50;49;3;92,02
1;1;9;10;59;6;114,00
1;1;9;33;54;5;137,00
1;1;9;33;54;14;100,00
1;1;9;33;54;13;133,00
1;1;9;33;54;2;52600,05
1;1;9;33;54;9;54809,26
1;1;9;33;54;12;50127,85
1;1;9;33;54;1;0,00
1;1;9;33;54;8;0,00
1;1;9;33;54;11;0,00
1;1;9;33;54;4;73,74
1;1;9;33;54;15;-11,70
1;1;9;33;54;18;-11,69
1;1;9;33;54;19;-10,98
1;1;9;40;15;16;12,37
1;1;9;40;41;3;91,10
1;1;9;48;45;-1;60,00
1;1;10;2;2;-1;80,00
1;1;10;11;34;5;93,00
1;1;10;11;34;14;56,00
1;1;10;11;34;13;99,00
1;1;10;11;34;2;87840,17
1;1;10;11;34;9;82042,72
1;1;10;11;34;12;89772,65
1;1;10;11;34;1;0,00
1;1;10;11;34;8;0,00
1;1;10;11;34;11;0,00
1;1;10;11;34;4;71,90
1;1;10;11;34;15;-10,18
1;1;10;11;34;18;-10,27
1;1;10;11;34;19;-11,10
1;1;10;34;57;6;64,00
1;1;10;49;50;16;11,22
1;1;10;51;46;3;91,90
1;1;11;2;33;16;10,39
1;1;11;16;23;6;82,00
1;1;11;19;10;5;44,00
1;1;11;19;10;14;92,00
1;1;11;19;10;13;37,00
1;1;11;19;10;2;101800,14
1;1;11;19;10;9;95997,53
1;1;11;19;10;12;99764,13
1;1;11;19;10;1;0,00
1;1;11;19;10;8;0,00
1;1;11;19;10;11;0,00
1;1;11;19;10;4;81,79
1;1;11;19;10;15;-7,69
1;1;11;19;10;18;-7,38
1;1;11;19;10;19;-7,05
1;1;11;21;15;-1;80,00
1;1;11;30;44;3;90,08
1;1;12;22;51;16;9,49
1;1;12;22;59;3;88,70
1;1;12;29;39;6;68,00
1;1;12;51;18;-1;80,00
1;1;12;58;58;5;1,00
1;1;12;58;58;14;67,00
1;1;12;58;58;13;0,00
1;1;12;58;58;2;106300,07
1;1;12;58;58;9;108532,37
1;1;12;58;58;12;116823,77
1;1;12;58;58;1;0,00
1;1;12;58;58;8;0,00
1;1;12;58;58;11;0,00
1;1;12;58;58;4;73,78
1;1;12;58;58;15;-4,20
1;1;12;58;58;18;-4,57
1;1;12;58;58;19;-4,99
1;1;13;34;38;6;105,00
1;1;13;38;47;-1;80,00
1;1;13;43;31;16;9,00
1;1;13;51;48;5;16,00
1;1;13;51;48;14;98,00
1;1;13;51;48;13;15,00
1;1;13;51;48;2;96615,15
1;1;13;51;48;9;105117,29
1;1;13;51;48;12;99996,68
1;1;13;51;48;1;0,00
1;1;13;51;48;8;0,00
1;1;13;51;48;11;0,00
1;1;13;51;48;4;86,04
1;1;13;51;48;15;-3,65
1;1;13;51;48;18;-3,39
1;1;13;51;48;19;-3,49
1;1;13;57;34;3;88,62
1;1;14;7;44;16;9,95
1;1;14;12;25;-1;80,00
1;1;14;30;14;6;37,00
1;1;14;41;56;3;90,74
1;1;14;51;0;5;54,00
1;1;14;51;0;14;46,00
1;1;14;51;0;13;60,00
1;1;14;51;0;2;78780,10
1;1;14;51;0;9;84688,60
1;1;14;51;0;12;71059,65
1;1;14;51;0;1;0,00
1;1;14;51;0;8;0,00
1;1;14;51;0;11;0,00
1;1;14;51;0;4;75,59
1;1;14;51;0;15;-0,16
1;1;14;51;0;18;-0,16
1;1;14;51;0;19;-0,16
1;1;15;13;8;3;92,25
1;1;15;22;28;16;11,22
1;1;15;40;6;5;112,00
1;1;15;40;6;14;69,00
1;1;15;40;6;13;98,00
1;1;15;40;6;2;50746,61
1;1;15;40;6;9;47397,33
1;1;15;40;6;12;46636,14
1;1;15;40;6;1;0,00
1;1;15;40;6;8;0,00
1;1;15;40;6;11;0,00
1;1;15;40;6;4;78,97
1;1;15;40;6;15;-0,25
1;1;15;40;6;18;-0,27
1;1;15;40;6;19;-0,30
1;1;15;53;37;6;72,00
1;1;15;54;52;-1;80,00
1;1;16;1;13;5;64,00
1;1;16;1;13;14;16,00
1;1;16;1;13;13;62,00
1;1;16;1;13;2;47658,64
1;1;16;1;13;9;50327,52
1;1;16;1;13;12;51995,57
1;1;16;1;13;1;0,00
1;1;16;1;13;8;0,00
1;1;16;1;13;11;0,00
1;1;16;1;13;4;71,43
1;1;16;1;13;15;1,46
1;1;16;1;13;18;1,46
1;1;16;1;13;19;1,51
1;1;16;4;39;3;92,25
1;1;16;9;36;-1;60,00
1;1;16;10;56;16;12,73
1;1;16;37;14;6;18,00
1;1;17;5;1;3;94,10
1;1;17;32;4;6;0,00
1;1;17;34;52;16;13,42
1;1;17;41;26;5;84,00
1;1;17;41;26;14;0,00
1;1;17;41;26;13;96,00
1;1;17;41;26;2;20713,13
1;1;17;41;26;9;20381,72
1;1;17;41;26;12;21313,82
1;1;17;41;26;1;0,00
1;1;17;41;26;8;0,00
1;1;17;41;26;11;0,00
1;1;17;41;26;4;74,22
1;1;17;41;26;15;2,46
1;1;17;41;26;18;2,22
1;1;17;41;26;19;2,02
1;1;17;48;59;-1;80,00
1;1;18;13;14;6;0,00
1;1;18;13;40;3;93,04
1;1;18;34;0;16;12,37
1;1;18;34;23;5;9,00
1;1;18;34;23;14;0,00
1;1;18;34;23;13;9,00
1;1;18;34;23;2;0,00
1;1;18;34;23;9;0,00
1;1;18;34;23;12;0,00
1;1;18;34;23;1;0,00
1;1;18;34;23;8;0,00
1;1;18;34;23;11;0,00
1;1;18;34;23;4;84,84
1;1;18;34;23;15;1,24
1;1;18;34;23;18;1,12
1;1;18;34;23;19;1,22
1;1;18;34;59;-1;60,00
1;1;19;3;9;-1;40,00
1;1;19;21;27;6;0,00
1;1;19;23;47;3;91,60
1;1;19;26;2;5;0,00
1;1;19;26;2;14;0,00
1;1;19;26;2;13;3,00
1;1;19;26;2;2;0,01
1;1;19;26;2;9;0,01
1;1;19;26;2;12;0,01
1;1;19;26;2;1;1173,00
1;1;19;26;2;8;1108,49
1;1;19;26;2;11;1200,49
1;1;19;26;2;4;83,74
1;1;19;26;2;15;-0,91
1;1;19;26;2;18;-0,83
1;1;19;26;2;19;-0,85
1;1;19;56;58;16;11,22
1;1;20;4;54;-1;60,00
1;1;20;10;43;3;89,68
1;1;20;24;52;16;9,49
1;1;20;25;13;5;0,00
1;1;20;25;13;14;0,00
1;1;20;25;13;13;15,00
1;1;20;25;13;2;0,18
1;1;20;25;13;9;0,18
1;1;20;25;13;12;0,18
1;1;20;25;13;1;1465,00
1;1;20;25;13;8;1443,03
1;1;20;25;13;11;1448,80
1;1;20;25;13;4;89,75
1;1;20;25;13;15;1,63
1;1;20;25;13;18;1,53
1;1;20;25;13;19;1,61
1;1;20;54;32;6;0,00
1;1;21;7;7;6;0,00
1;1;21;20;42;3;87,74
1;1;21;27;13;-1;70,00
1;1;21;35;27;16;7,35
1;1;21;39;23;5;0,00
1;1;21;39;23;14;7,00
1;1;21;39;23;13;9,00
1;1;21;39;23;2;0,12
1;1;21;39;23;9;0,10
1;1;21;39;23;12;0,12
1;1;21;39;23;1;248,00
1;1;21;39;23;8;272,06
1;1;21;39;23;11;246,48
1;1;21;39;23;4;82,38
1;1;21;39;23;15;2,35
1;1;21;39;23;18;2,32
1;1;21;39;23;19;2,55
1;1;22;2;36;16;6,00
1;1;22;17;34;6;0,00
1;1;22;29;2;-1;60,00
1;1;22;46;50;5;0,00
1;1;22;46;50;14;0,00
1;1;22;46;50;13;0,00
1;1;22;46;50;2;0,13
1;1;22;46;50;9;0,12
1;1;22;46;50;12;0,12
1;1;22;46;50;1;1004,00
1;1;22;46;50;8;1103,40
1;1;22;46;50;11;1179,53
1;1;22;46;50;4;84,08
1;1;22;46;50;15;4,54
1;1;22;46;50;18;4,24
1;1;22;46;50;19;4,61
1;1;22;56;31;3;87,10
1;1;23;1;8;16;4,24
1;1;23;50;18;6;0,00
1;1;23;51;36;3;82,82
1;1;23;56;9;-1;60,00
1;1;23;56;14;5;85,00
1;1;23;56;14;14;0,00
1;1;23;56;14;13;83,00
1;1;23;56;14;2;0,11
1;1;23;56;14;9;0,10
1;1;23;56;14;12;0,12
1;1;23;56;14;1;1652,00
1;1;23;56;14;8;1526,45
1;1;23;56;14;11;1392,12
1;1;23;56;14;4;93,76
1;1;23;56;14;15;5,04
1;1;23;56;14;18;5,48
1;1;23;56;14;19;5,94
1;2;0;0;8;3;84,73
1;2;0;14;7;5;39,00
1;2;0;14;7;14;0,00
1;2;0;14;7;13;29,00
1;2;0;14;7;2;0,03
1;2;0;14;7;9;0,03
1;2;0;14;7;12;0,03
1;2;0;14;7;1;0,00
1;2;0;14;7;8;0,00
1;2;0;14;7;11;0,00
1;2;0;14;7;4;77,46
1;2;0;14;7;15;4,38
1;2;0;14;7;18;4,47
1;2;0;14;7;19;4,67
1;2;0;30;51;6;0,00
1;2;0;39;2;16;5,61
1;2;0;51;9;-1;60,00
1;2;1;17;29;3;84,26
1;2;1;18;49;6;27,00
1;2;1;36;34;-1;50,00
1;2;1;44;5;5;0,00
1;2;1;44;5;14;24,00
1;2;1;44;5;13;0,00
1;2;1;44;5;2;0,02
1;2;1;44;5;9;0,02
1;2;1;44;5;12;0,02
1;2;1;44;5;1;0,00
1;2;1;44;5;8;0,00
1;2;1;44;5;11;0,00
1;2;1;44;5;4;84,95
1;2;1;44;5;15;5,57
1;2;1;44;5;18;5,58
1;2;1;44;5;19;6,06
1;2;1;57;3;16;4,35
1;2;2;4;48;5;45,00
1;2;2;4;48;14;62,00
1;2;2;4;48;13;57,00
1;2;2;4;48;2;0,02
1;2;2;4;48;9;0,02
1;2;2;4;48;12;0,02
1;2;2;4;48;1;0,00
1;2;2;4;48;8;0,00
1;2;2;4;48;11;0,00
1;2;2;4;48;4;83,41
1;2;2;4;48;15;2,52
1;2;2;4;48;18;2,33
1;2;2;4;48;19;2,25
1;2;2;22;44;16;3,97
1;2;2;29;33;3;84,54
1;2;2;47;46;-1;70,00
1;2;2;57;41;6;56,00
1;2;3;0;23;5;94,00
1;2;3;0;23;14;33,00
1;2;3;0;23;13;88,00
1;2;3;0;23;2;0,08
1;2;3;0;23;9;0,08
1;2;3;0;23;12;0,08
1;2;3;0;23;1;726,00
1;2;3;0;23;8;773,92
1;2;3;0;23;11;789,39
1;2;3;0;23;4;83,00
1;2;3;0;23;15;1,96
1;2;3;0;23;18;1,97
1;2;3;0;23;19;2,17
1;2;3;9;44;-1;60,00
1;2;3;33;34;3;83,34
1;2;3;53;57;16;4,70
1;2;3;57;2;6;23,00
1;2;4;2;23;5;0,00
1;2;4;2;23;14;0,00
1;2;4;2;23;13;0,00
1;2;4;2;23;2;0,19
1;2;4;2;23;9;0,20
1;2;4;2;23;12;0,17
1;2;4;2;23;1;818,00
1;2;4;2;23;8;829,45
1;2;4;2;23;11;867,61
1;2;4;2;23;4;87,52
1;2;4;2;23;15;0,30
1;2;4;2;23;18;0,28
1;2;4;2;23;19;0,30
1;2;4;5;37;3;86,06
1;2;4;37;6;6;0,00
1;2;4;58;9;-1;50,00
1;2;4;59;53;16;7,10
1;2;5;1;39;-1;60,00
1;2;5;5;18;5;0,00
1;2;5;5;18;14;9,00
1;2;5;5;18;13;0,00
1;2;5;5;18;2;0,10
1;2;5;5;18;9;0,10
1;2;5;5;18;12;0,11
1;2;5;5;18;1;347,00
1;2;5;5;18;8;331,04
1;2;5;5;18;11;343,62
1;2;5;5;18;4;86,87
1;2;5;5;18;15;2,43
1;2;5;5;18;18;2,62
1;2;5;5;18;19;2,41
1;2;5;19;2;16;9,72
1;2;5;37;44;3;89,29
1;2;5;48;0;6;0,00
1;2;6;21;46;16;15,87
1;2;6;27;38;-1;50,00
1;2;6;47;21;3;96,77
1;2;6;54;5;5;0,00
1;2;6;54;5;14;0,00
1;2;6;54;5;13;0,00
